,China,Trump,StayHome,Vaccine,Ventilator,ICU,Flight,Isolation,Border,SARS,Overall
2020-03-03,-0.630612245,-0.623263328,-1,-0.743686869,-0.75,,-0.639032815,-0.657894737,-0.567741935,-0.919270833,-0.66667
2020-03-04,-0.765499426,-0.596912202,-0.8125,-0.781875659,-0.666666667,,-0.586956522,-0.748375116,-0.905511811,-0.964373464,-0.68393
2020-03-05,-0.735067162,-0.743029151,-0.833333333,-0.820707071,-0.80952381,,-0.806476484,-0.658095238,-0.779761905,-0.7125,-0.69593
2020-03-06,-0.604061524,-0.762931034,-0.833333333,-0.881024096,-0.875,,-0.715817694,-0.873680944,-0.760504202,-0.772727273,-0.540675
2020-03-07,-0.666798263,-0.799082373,-1,-0.790816327,-0.75,,-0.585195531,-0.698344574,-0.720338983,-0.896825397,-0.666875
2020-03-08,-0.708434099,-0.844025379,-1,-0.784431138,-0.928571429,,-0.843091335,-0.837387387,-0.8375,-0.942622951,-0.72208
2020-03-09,-0.793113261,-0.394307436,-1,-0.671232877,-1,,-0.58974359,-0.747426762,-0.816666667,-0.717391304,-0.658305
2020-03-10,-0.761247444,-0.80859375,-0.458333333,-0.77238806,-0.833333333,,-0.58041958,-0.826024786,-0.689320388,-0.92,-0.743775
2020-03-11,-0.639951427,-0.79052901,-0.568181818,-0.825862069,-1,,-0.56424581,-0.685546875,-0.772357724,-0.75,-0.711875
2020-03-12,-0.702295552,-0.630841725,-0.767857143,-0.843220339,-0.260869565,,-0.70030349,-0.647904192,-0.853658537,-0.8125,-0.65792
2020-03-13,-0.737348735,-0.637430939,-0.868421053,-0.787037037,-0.052631579,,-0.599740933,-0.767567568,-0.888888889,-0.805555556,-0.71415
2020-03-14,-0.196946565,-0.68548859,-0.818181818,-0.702941176,-0.255319149,,-0.603703704,-0.694871795,-0.711538462,-0.769230769,-0.63948
2020-03-15,-0.694603754,-0.783916634,0,-0.911144578,-0.466666667,,-0.576335878,-0.402862986,-0.616972477,-0.788461538,-0.683865
2020-03-16,-0.798472385,-0.793870192,-0.710526316,-0.816885965,-0.818181818,,-0.650259067,-0.561636557,-0.587912088,-0.525,-0.68742
2020-03-17,-0.822393822,-0.881537316,-0.5,-0.629677419,-0.68902439,,-0.656521739,-0.757640068,-0.795774648,-0.951851852,-0.632045
2020-03-18,-0.762210163,-0.635103926,-0.8125,-0.625,-0.868421053,,-0.768825301,-0.816471314,-0.694805195,-0.956730769,-0.68501
2020-03-19,-0.718758508,-0.734957627,-0.947368421,-0.55186722,-0.537313433,,-0.659863946,-0.652050114,-0.75,-0.877358491,-0.70641
2020-03-20,-0.778318277,-0.708277254,-0.363636364,-0.895781638,-0.814285714,,-0.706779661,-0.693533271,-0.725274725,-0.958333333,-0.663905
2020-03-21,-0.755306775,-0.754915981,-0.888888889,-0.713836478,-0.831683168,,-0.701438849,-0.697236181,-0.734848485,-0.645833333,-0.66885
2020-03-22,-0.7927448,-0.907188841,-0.4,-0.727822581,-0.341549296,,-0.379353234,-0.643418468,-0.735849057,-0.85,-0.69105
2020-03-23,-0.627938034,-0.73372615,,-0.924731183,-0.52173913,,-0.590909091,-0.740313653,-0.804093567,-0.734375,-0.619895
2020-03-24,-0.665817508,-0.71782364,-1,-0.520833333,-0.775280899,,-0.545685279,-0.599068586,-0.612676056,-0.954545455,-0.676055
2020-03-25,-0.711154669,-0.773861171,-0.4375,-0.834745763,-0.871972318,,-0.708715596,-0.375832224,-0.925170068,-0.642857143,-0.65569
2020-03-26,-0.754637732,-0.709744586,-0.785714286,-0.406896552,-0.876146789,,-0.702898551,-0.57137224,-0.948818898,-0.75,-0.66936
2020-03-27,-0.706033848,-0.728398118,-0.8,-0.775384615,-0.433098592,,-0.626923077,-0.732288037,-0.778597786,-0.577586207,-0.670745
2020-03-28,-0.747220405,-0.528258888,-0.333333333,-0.706896552,-0.580917874,,-0.641025641,-0.759259259,-0.445488722,-0.409090909,-0.6414
2020-03-29,-0.755925366,-0.771757679,,-0.758823529,-0.542124542,,-0.603092784,-0.695833333,-0.724137931,-0.448717949,-0.672095
2020-03-30,-0.676127405,-0.65116817,-0.5,-0.85,-0.684210526,,-0.745481928,-0.765892421,-0.75,-0.678571429,-0.710955
2020-03-31,-0.728134557,-0.712460971,-0.75,-0.705263158,-0.680156658,,-0.527439024,-0.752589641,-0.193181818,-0.405660377,-0.69004
2020-04-01,-0.717065868,-0.586397985,-0.75,-0.767123288,-0.633445946,,-0.784753363,-0.780448718,-0.588888889,-0.673913043,-0.64772
2020-04-02,-0.646766169,-0.617679436,-0.25,-0.763227513,-0.660087719,,-0.856707317,-0.642857143,-0.871794872,-0.568181818,-0.66173
2020-04-03,-0.729280397,-0.68639231,-1,-0.869127517,-0.65034965,,-0.575,-0.711538462,-0.773584906,-0.870967742,-0.65445
2020-04-04,-0.714253898,-0.62246302,,-0.62539185,-0.75,,-0.242937853,-0.508323424,-0.440298507,-0.648648649,-0.665545
